"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"DELTACORP","EQ","11-Sep-2019","        176.50","        176.40","        187.40","        174.70","        181.90","        182.85","        181.73","    1127059","           204823952.90","      14599","     311764","         27.66"
"DELTACORP","EQ","12-Sep-2019","        182.85","        183.70","        189.55","        183.00","        184.55","        184.30","        185.99","     927702","           172547749.00","      16360","     160263","         17.28"
"DELTACORP","EQ","13-Sep-2019","        184.30","        185.35","        185.50","        180.10","        182.00","        182.70","        182.36","     424509","            77414687.95","       7918","      88046","         20.74"
"DELTACORP","EQ","16-Sep-2019","        182.70","        180.10","        181.30","        176.35","        178.00","        179.10","        179.14","     537828","            96345554.15","       7613","     174811","         32.50"
"DELTACORP","EQ","17-Sep-2019","        179.10","        178.50","        178.95","        170.60","        171.45","        171.40","        174.49","     422000","            73635707.55","       6582","     177114","         41.97"
"DELTACORP","EQ","18-Sep-2019","        171.40","        172.85","        176.40","        170.60","        173.40","        173.65","        173.71","     432348","            75103619.75","       8049","      77723","         17.98"
"DELTACORP","EQ","19-Sep-2019","        173.65","        174.50","        174.50","        168.00","        171.00","        170.10","        170.02","     447353","            76057354.70","       7885","     116677","         26.08"
"DELTACORP","EQ","20-Sep-2019","        170.10","        176.00","        190.00","        171.10","        187.60","        188.20","        181.34","    1941320","           352036874.75","      25610","     795819","         40.99"
"DELTACORP","EQ","23-Sep-2019","        188.20","        191.95","        193.00","        182.00","        187.00","        187.90","        187.39","     928455","           173985684.90","      11235","     336863","         36.28"
"DELTACORP","EQ","24-Sep-2019","        187.90","        186.15","        200.85","        183.05","        196.70","        197.70","        194.43","    1593579","           309844670.80","      17535","     461307","         28.95"
"DELTACORP","EQ","25-Sep-2019","        197.70","        196.00","        197.80","        188.00","        188.35","        189.80","        192.20","     731702","           140630949.70","      11242","     255942","         34.98"
"DELTACORP","EQ","26-Sep-2019","        189.80","        189.00","        197.00","        185.00","        194.40","        194.15","        191.20","    1174230","           224518542.95","      21183","     277902","         23.67"
"DELTACORP","EQ","27-Sep-2019","        194.15","        195.25","        195.70","        180.80","        181.05","        181.65","        186.37","     753201","           140371523.30","      10079","     365700","         48.55"
"DELTACORP","EQ","30-Sep-2019","        181.65","        183.00","        183.00","        168.00","        170.25","        168.90","        172.47","     882770","           152255147.20","      10307","     429832","         48.69"
"DELTACORP","EQ","01-Oct-2019","        168.90","        170.25","        174.45","        153.00","        165.65","        164.65","        165.65","    1028984","           170451497.30","      15258","     439853","         42.75"
"DELTACORP","EQ","03-Oct-2019","        164.65","        165.70","        165.70","        153.00","        153.00","        154.10","        157.07","    1046880","           164435928.70","      22121","     484939","         46.32"
"DELTACORP","EQ","04-Oct-2019","        154.10","        155.20","        156.35","        150.05","        152.20","        152.50","        152.69","    1148639","           175383994.95","      15262","     433685","         37.76"
"DELTACORP","EQ","07-Oct-2019","        152.50","        152.90","        158.60","        150.00","        156.95","        157.30","        155.72","     883590","           137595530.35","      14560","     273048","         30.90"
"DELTACORP","EQ","09-Oct-2019","        157.30","        160.00","        171.00","        158.25","        168.95","        169.45","        165.07","    1662472","           274421527.85","      22989","     517694","         31.14"
"DELTACORP","EQ","10-Oct-2019","        169.45","        167.00","        174.40","        164.35","        172.40","        172.65","        170.90","    1210931","           206948987.35","      15290","     354368","         29.26"
"DELTACORP","EQ","11-Oct-2019","        172.65","        174.00","        174.10","        164.20","        171.40","        170.10","        169.94","     802769","           136424068.60","      10682","     209281","         26.07"
"DELTACORP","EQ","14-Oct-2019","        170.10","        171.90","        175.90","        168.20","        170.40","        170.85","        172.25","     930371","           160259092.95","      12011","     258814","         27.82"
"DELTACORP","EQ","15-Oct-2019","        170.85","        165.00","        173.00","        164.95","        171.50","        170.85","        169.77","    1160063","           196944497.75","      20839","     295992","         25.52"
"DELTACORP","EQ","16-Oct-2019","        170.85","        172.05","        182.90","        172.05","        178.45","        179.15","        177.78","    1357150","           241270416.60","      16694","     398817","         29.39"
"DELTACORP","EQ","17-Oct-2019","        179.15","        179.55","        183.30","        177.20","        178.10","        178.85","        179.74","     685292","           123171846.30","       9364","     151176","         22.06"
"DELTACORP","EQ","18-Oct-2019","        178.85","        178.25","        192.00","        177.10","        186.00","        187.35","        186.92","    2042909","           381856466.55","      19434","     433341","         21.21"
